model,graph_encoder,fold,seed,lambda_clip,AUROC,AUPRC,balanced_accuracy,R@1,R@5,R@10,MRR,image_R@1,image_R@5,image_R@10,image_MRR,image_median_rank,brain_R@1,brain_R@5,brain_R@10,brain_MRR,brain_median_rank,best_val_metric,best_epoch,status,metrics_path,loss,clip_temperature,temperature,test_loss,n_test_pairs,n_nodes,node_feature_dim,clip_dim,readout,roi_id_mode
regraph_vlm_v0,bnt_token_flat,fold_01,11,0.0,0.8083249255227045,0.7758632141953361,0.72911227154047,0.0134899912967798,0.0474325500435161,0.0818102697998259,0.04400871151612,0.0030461270670147,0.0100087032201914,0.0152306353350739,0.0122906000109469,317.0,0.000870322019147,0.0073977371627502,0.016100957354221,0.0112097874320511,320.0,0.7698708643604487,16,ok,/gpfsnyu/scratch/xh2906/ReGraph-VLM/preproc_v0/repetition_familiarity/results/cross_subject_allfold_seed11/bnt_token_flat_clip/lambda_0/fold_01/seed_11/metrics.json,bce_infonce_clip,0.07,0.1,0.5348198367161165,4596,180,4,512,,
regraph_vlm_v0,bnt_token_flat,fold_02,11,0.0,0.8335346284391544,0.7996900200518472,0.7576153176675371,0.0143603133159268,0.0696257615317667,0.1127067014795474,0.0528393951388609,0.0021758050478677,0.0095735422106179,0.0182767624020887,0.0118343706434641,333.0,0.0017406440382941,0.0095735422106179,0.0134899912967798,0.0109374901761445,342.5,0.7813604800955164,10,ok,/gpfsnyu/scratch/xh2906/ReGraph-VLM/preproc_v0/repetition_familiarity/results/cross_subject_allfold_seed11/bnt_token_flat_clip/lambda_0/fold_02/seed_11/metrics.json,bce_infonce_clip,0.07,0.1,0.510068532043794,4596,180,4,512,,
regraph_vlm_v0,bnt_token_flat,fold_03,11,0.0,0.8418136113012002,0.8213810976546245,0.7616179001721171,0.0321285140562249,0.1032702237521514,0.1801491681009753,0.0842054967722013,0.0011474469305794,0.0091795754446356,0.012621916236374,0.0098036587501341,338.0,0.0017211703958691,0.0080321285140562,0.0166379804934021,0.0104987145499627,329.0,0.7860307286266378,20,ok,/gpfsnyu/scratch/xh2906/ReGraph-VLM/preproc_v0/repetition_familiarity/results/cross_subject_allfold_seed11/bnt_token_flat_clip/lambda_0/fold_03/seed_11/metrics.json,bce_infonce_clip,0.07,0.1,0.4932351122624697,3486,180,4,512,,
regraph_vlm_v0,bnt_token_flat,fold_04,11,0.0,0.841770823514626,0.8255690160827676,0.758252427184466,0.031715210355987,0.1184466019417475,0.1987055016181229,0.0908963820233652,0.001294498381877,0.0045307443365695,0.0110032362459546,0.0099039995274779,298.0,0.001294498381877,0.0097087378640776,0.0187702265372168,0.0119763353777946,281.0,0.7959158366586022,32,ok,/gpfsnyu/scratch/xh2906/ReGraph-VLM/preproc_v0/repetition_familiarity/results/cross_subject_allfold_seed11/bnt_token_flat_clip/lambda_0/fold_04/seed_11/metrics.json,bce_infonce_clip,0.07,0.1,0.580778558701759,3090,180,4,512,flat,normal
regraph_vlm_v0,bnt_token_flat,fold_05,11,0.0,0.8717869475935861,0.8509790691951091,0.794604003481288,0.02088772845953,0.0844212358572671,0.1527415143603133,0.0683766297646097,0.0013054830287206,0.0030461270670147,0.0100087032201914,0.0085063592607358,378.0,0.0004351610095735,0.0052219321148825,0.0091383812010443,0.0081947903013338,386.5,0.7777103298038354,18,ok,/gpfsnyu/scratch/xh2906/ReGraph-VLM/preproc_v0/repetition_familiarity/results/cross_subject_allfold_seed11/bnt_token_flat_clip/lambda_0/fold_05/seed_11/metrics.json,bce_infonce_clip,0.07,0.1,0.4490816273099967,4596,180,4,512,,
regraph_vlm_v0,bnt_token_flat,fold_06,11,0.0,0.8124329133598569,0.7775964026666216,0.7412507171543317,0.0154905335628227,0.0631095811818703,0.1164658634538152,0.0534141273564881,0.0022948938611589,0.0080321285140562,0.0183591508892713,0.012155287273991,311.0,0.0011474469305794,0.0091795754446356,0.0160642570281124,0.0112185496005272,300.0,0.7593305474387575,19,ok,/gpfsnyu/scratch/xh2906/ReGraph-VLM/preproc_v0/repetition_familiarity/results/cross_subject_allfold_seed11/bnt_token_flat_clip/lambda_0/fold_06/seed_11/metrics.json,bce_infonce_clip,0.07,0.1,0.5306941648016561,3486,180,4,512,,
regraph_vlm_v0,bnt_token_flat,fold_07,11,0.0,0.7082366624476122,0.6900262918303031,0.6494778067885117,0.0073977371627502,0.036988685813751,0.0630983463881636,0.0308695390296405,0.0004351610095735,0.0039164490861618,0.0078328981723237,0.0069725196895018,424.5,0.0013054830287206,0.0065274151436031,0.011314186248912,0.0080788584944334,415.0,0.7963435657355914,19,ok,/gpfsnyu/scratch/xh2906/ReGraph-VLM/preproc_v0/repetition_familiarity/results/cross_subject_allfold_seed11/bnt_token_flat_clip/lambda_0/fold_07/seed_11/metrics.json,bce_infonce_clip,0.07,0.1,0.6867853860631001,4596,180,4,512,,
regraph_vlm_v0,bnt_token_flat,fold_08,11,0.0,0.786114933861187,0.7710972866789242,0.7090614886731392,0.0271844660194174,0.0828478964401294,0.1423948220064725,0.0702160044369802,0.0006472491909385,0.0058252427184466,0.0110032362459546,0.0097884254704554,283.0,0.002588996763754,0.0084142394822006,0.0129449838187702,0.0114679475200043,278.0,0.7465022371593416,19,ok,/gpfsnyu/scratch/xh2906/ReGraph-VLM/preproc_v0/repetition_familiarity/results/cross_subject_allfold_seed11/bnt_token_flat_clip/lambda_0/fold_08/seed_11/metrics.json,bce_infonce_clip,0.07,0.1,0.5767284765984249,3090,180,4,512,,
regraph_vlm_v0,bnt_token_flat,fold_01,11,2.0,0.8351635470659392,0.8115254280785227,0.7567449956483899,0.0169712793733681,0.0670147954743255,0.1096605744125326,0.0552858685854538,0.0139251523063533,0.06266318537859,0.1018276762402088,0.0494466152562925,95.0,0.0234986945169712,0.0770234986945169,0.150130548302872,0.068523491310653,64.0,0.7806575130130602,11,ok,/gpfsnyu/scratch/xh2906/ReGraph-VLM/preproc_v0/repetition_familiarity/results/cross_subject_allfold_seed11/bnt_token_flat_clip/lambda_2/fold_01/seed_11/metrics.json,bce_infonce_clip,0.07,0.1,0.4968155377631191,4596,180,4,512,,
regraph_vlm_v0,roi_mlp,fold_01,11,2.0,0.820077207940306,0.7860516220365094,0.7456483899042645,0.0156657963446475,0.0648389904264577,0.1040034812880765,0.0523750261838999,0.0126196692776327,0.0574412532637075,0.0926892950391645,0.0472272407934173,100.5,0.016100957354221,0.0704960835509138,0.1235857267188859,0.0588188495599364,72.0,0.7907139640347294,10,ok,/gpfsnyu/scratch/xh2906/ReGraph-VLM/preproc_v0/repetition_familiarity/results/cross_subject_allfold_seed11/roi_mlp_clip/lambda_2/fold_01/seed_11/metrics.json,bce_infonce_clip,0.07,0.1,0.5554125756155003,4596,180,4,512,,
